Iterasi,TP,FP,FN,TN,Accuracy,Precision,Recall,F1-Score,MCC
1,79,3,1,71,0.9740,0.9634,0.9875,0.9753,0.9482
2,76,0,2,76,0.9870,1.0000,0.9744,0.9870,0.9744
3,75,3,0,76,0.9805,0.9615,1.0000,0.9804,0.9618
4,95,3,1,55,0.9740,0.9694,0.9896,0.9894,0.9447
5,67,1,1,85,0.9870,0.9853,0.9853,0.9853,0.9737
6,71,7,3,73,0.9351,0.9103,0.9595,0.9342,0.8714
7,72,2,1,79,0.9805,0.9730,0.9863,0.9796,0.9610
8,82,1,3,68,0.9740,0.9880,0.9647,0.9762,0.9480
9,68,3,1,82,0.9740,0.9577,0.9855,0.9714,0.9480
10,71,3,1,79,0.9740,0.9595,0.9861,0.9726,0.9842
